User,24,25,26,27,28,31,1,2,3,4,7,8,9,10,11,Estado,???
juneasteee#4289,,,,,,,,,,,,,,,,muerto,
kaizer2140,♥️4,,,,,,,,,,,,,,,muerto,
ketrenlatoxi,♠️2,,♥️As,,,,,,,,,,,,,muerto,
kino_ogami,,,,,,,,,,,,,,,,muerto,
kirakiara,,♦️3,♥️As,,♠️7,,,,,,,,,,,muerto,
kong3036,,♦️3,♦️8,,♠️7,🃏♣️7,,,,,,,,,,muerto,
leo465,,♦️5,,,♠️7,,,,,,,,,,,muerto,
lingienn,,♥️2,♥️As,💀,,,,,,,,,,,,muerto,
Lulitains,,,,,,,,,,,,,,,,muerto,
luzpavlovic,,,,,,,,,,,,,,,,muerto,
maca4860,,,,,,,,,,,,,,,,muerto,
Maira#8046,,,,,,,,,,,,,,,,muerto,
marcdany,♠️2,,♥️As,♣️3,,♥️7,,♠️4,,,,,,,,muerto,
mardbbarp.,,♦️3,,♠️10,,,,,,,,,,,,muerto,
marhibomba,,,,,,,,,,,,,,,,muerto,
maxxie_20058,,♣️6,,,,🃏♦️4,♠️As,♥️10,,,,,,,,muerto,
mcxx_,♥️4,,,,,,,,,,,,,,,muerto,
mfwairy,♠️2,,,,,,,,,,,,,,,muerto,
Mía#6622,,♦️5,,♣️3,,🃏♣️7,,,,,,,,,,muerto,
minmincam,,♣️6,,,♠️7,,,,,,,,,,,muerto,
miuw#2788,,,,,,,,,,,,,,,,muerto,
Mon_23#4804,♠️2,,,,,,,,,,,,,,,muerto,
monica07ld,♠️2,,♥️As,♥️9,🃏♥️8,,♥️3,♠️4,,,,,,,,muerto,
mushu7994,,,♥️As,,,,,,,,,,,,,muerto,
mxmokth,♠️2,,♥️As,,,🃏♣️7,,,,,,,,,,muerto,
naokiuwu_2336,,♣️6,♥️As,,,,♣️2,♣️8,,,,,,,,muerto,
naomi sato#3030,,,,,,,,,,,,,,,,muerto,
nini2405,,,,,,,,,,,,,,,,muerto,
nixyazmin,,♦️3,,♥️9,🃏♥️8,,,,,,,,,,,muerto,
pandita0_0,♠️2,,♥️As,♥️9,,🃏♦️4,♥️3,♠️4,,,,,,,,muerto,
paoarom,,♦️3,,💀,,,,,,,,,,,,muerto,
Patataman.,♠️2,,,,🃏♥️8,,,,,,,,,,,muerto,
pau55#2829,,,,,,,,,,,,,,,,muerto,
paulaa._08,♣️5,,♣️4,,,♥️7 / 🃏♠️9,,,,,,,,,,muerto,
perifericonde,♣️5,,♣️4,,,,,,,,,,,,,muerto,
pollito_azul12,,,,,,,,,,,,,,,,muerto,
prestley_0263,♠️2,,♥️As,♥️9,,🃏♠️9,,,,,,,,,,muerto,
rodripers07,,♥️2,💀,,,🃏♠️9,,,,,,,,,,muerto,
Saraa#8356,,,,,,,,,,,,,,,,muerto,
sarahi_oxihpq,,♦️3,♥️As,,♠️7,🃏♣️7,♦️2,♣️8,,,,,,,,muerto,
Sebass#8376,,♦️3,♥️As,,♣️10 / 🃏♥️8,🃏♣️7,,,,,,,,,,muerto,
sersemon,,,♥️As,♠️10,,,,,,,,,,,,muerto,
sofii6687,,,,,,,,,,,,,,,,muerto,
sophie.soph16,,,,,🃏♥️8,,,,,,,,,,,muerto,
ssai4125,♦️9,,,,,,,,,,,,,,,muerto,
starphantom_,♠️2,,,,,,,,,,,,,,,muerto,
stmxaone,,,,,,,,,,,,,,,,muerto,
sunx9390,,♦️5,,,,,,,,,,,,,,muerto,
sweet.karma,♣️5,,,,♣️10,🃏♣️7,,,,,,,,,,muerto,
the_boycito,♦️9,,,,🃏♥️8,,,,,,,,,,,muerto,
TheDaxar,♣️5,,,,,,,,,,,,,,,muerto,
toxicdream92,,,♥️As,,,,,,,,,,,,,muerto,
tsukkyy_,,♦️3,,♣️3,,,♦️2,💀,,,,,,,,muerto,
une.bx,,,,,,,,,,,,,,,,muerto,
unkknowin,,♦️3,,♥️9,🃏♥️8,🃏♣️7,,,,,,,,,,muerto,
urumii_,♠️2,,,,,🃏♣️7,,♠️4,,,,,,,,muerto,
vante2013,♥️4,,,,,,,,,,,,,,,muerto,
vanu_4526,,♦️3,,💀,,,,,,,,,,,,muerto,
velorio.,♦️9,,,,🃏♥️8,,♠️As,♥️10,,,,,,,,muerto,
wings25,♠️2,,,,,,,,,,,,,,,muerto,
yukiborderland,♠️2,,,,,🃏♣️7,,♥️10,,,,,,,,muerto,
yukkis_cg.,♦️9,,,,🃏♥️8,,♠️As,♥️10,,,,,,,,muerto,
Z_ Ryu#1530,♠️2,,💀,,,,,,,,,,,,,muerto,
zar_a.,♦️9,,♠️6,,♣️10,🃏♠️9,,,,,,,,,,muerto,
zmarii,,,♥️As,,,,,,,,,,,,,muerto,
.i_andrea,♠️2,,,,,,,,,,,,,,,fuera,
.itsnothing1.,,,,,,,,,,,,,,,,fuera,
eimjy,♦️9,,,,,,,,,,,,,,,fuera,
iii1357,♠️2,♦️3,♥️As,,,,,,,,,,,,,fuera,
KamixX#2038,♠️2,,,,,,,,,,,,,,,fuera,
marig1400,♠️2,,,,,,,,,,,,,,,fuera,
mr_hot_666,♠️2,,♥️As,,,,,,,,,,,,,fuera,
selly_08,♥️4,,,,,,,,,,,,,,,fuera,
tlfl_sw,♥️4,,,,,,,,,,,,,,,fuera,
